frame,bbox,face_id,detect_conf,track_conf,sex_decfunc,age_decfunc,sex_label,age_label,sex_decfunc_avg,age_decfunc_avg,sex_label_avg,age_label_avg
40,"(734, 24, 914, 204)",2,,17.0009043223712,-8.684134,2.5729747,f,20.72974681854248,-7.7898626,2.379425,f,18.79425048828125
40,"(564, 207, 740, 383)",3,,18.122587964223364,6.2106113,3.0735264,m,25.73526382446289,7.4075794,2.78027,m,22.802700996398926
40,"(315, 163, 503, 350)",4,,18.64651714707899,-9.779967,2.776558,f,22.765579223632812,-10.052649,2.8265493,f,23.265492916107178
50,"(61, 110, 273, 321)",0,0.9974837303161621,19.810311286006545,-12.171824,3.2861485,f,27.861485481262207,-13.757429,3.239944,f,27.399439811706543
50,"(940, -10, 1119, 169)",1,0.9177563786506653,23.857866548160942,9.496052,3.7363772,m,32.36377239227295,8.010995,3.7638829,m,32.63882875442505
50,"(728, 21, 923, 216)",2,0.9102004766464233,22.57552874373652,-7.9585333,2.3775153,f,18.775153160095215,-7.7898626,2.379425,f,18.79425048828125
50,"(561, 205, 740, 384)",3,0.8329789042472839,15.646899085150816,8.067058,2.8923879,m,23.92387866973877,7.4075794,2.78027,m,22.802700996398926
50,"(319, 169, 489, 340)",4,0.6715247631072998,19.922621204695396,-10.567799,2.778127,f,22.781269550323486,-10.052649,2.8265493,f,23.265492916107178
60,"(58, 112, 266, 319)",0,,19.05397404683557,-13.647744,3.449874,f,29.49873924255371,-13.757429,3.239944,f,27.399439811706543
60,"(947, -10, 1122, 166)",1,,26.00824681034082,8.112565,3.739551,m,32.39551067352295,8.010995,3.7638829,m,32.63882875442505
60,"(732, 13, 923, 204)",2,,24.73536731386216,-7.3309937,2.176238,f,16.762380599975586,-7.7898626,2.379425,f,18.79425048828125
60,"(562, 200, 741, 379)",3,,9.817180049876491,1.6685264,2.0093613,m,15.093612670898438,7.4075794,2.78027,m,22.802700996398926
60,"(324, 165, 493, 334)",4,,23.437877370388012,-10.711263,2.7099197,f,22.099196910858154,-10.052649,2.8265493,f,23.265492916107178
70,"(62, 110, 285, 333)",0,,17.381175844103904,-14.009864,3.289992,f,27.89992094039917,-13.757429,3.239944,f,27.399439811706543
70,"(952, -9, 1128, 167)",1,,21.23944209328344,9.693274,3.8057692,m,33.05769205093384,8.010995,3.7638829,m,32.63882875442505
70,"(735, 1, 923, 189)",2,,21.372217458103364,-7.04994,2.1119719,f,16.119718551635742,-7.7898626,2.379425,f,18.79425048828125
70,"(325, 160, 494, 328)",4,,11.827013996734461,-7.090228,2.8228316,f,23.22831630706787,-10.052649,2.8265493,f,23.265492916107178
80,"(61, 109, 275, 323)",0,,22.455625749661476,-13.675446,3.2100086,f,27.100086212158203,-13.757429,3.239944,f,27.399439811706543
80,"(956, -9, 1118, 152)",1,,18.592802045361267,9.56011,3.7155051,m,32.15505123138428,8.010995,3.7638829,m,32.63882875442505
80,"(733, 13, 916, 196)",2,,19.04814757543615,-6.6660376,2.2589407,f,17.589406967163086,-7.7898626,2.379425,f,18.79425048828125
80,"(331, 167, 502, 338)",4,,23.446371307945874,-10.3890705,2.7177386,f,22.17738628387451,-10.052649,2.8265493,f,23.265492916107178
