frame,bbox,detect_conf,sex_decfunc,sex_label
34,"(558, 205, 742, 390)",0.8313802,14.552358239026988,m
35,"(307, 162, 492, 348)",0.99619377,-15.857299573932051,f
35,"(733, 21, 933, 222)",0.95923567,-7.710331610957519,f
35,"(62, 115, 243, 296)",0.9163783,-2.798695458492625,f
35,"(559, 205, 742, 389)",0.8437913,14.851260105787695,m
36,"(307, 162, 492, 347)",0.9964399,-16.465100554360724,f
36,"(733, 21, 933, 222)",0.9553232,-8.262466209504288,f
36,"(60, 115, 243, 297)",0.9181271,-8.038700714590387,f
36,"(558, 205, 742, 389)",0.83085907,14.136304352998172,m
37,"(307, 162, 492, 347)",0.99650407,-16.770989606142827,f
37,"(733, 22, 933, 221)",0.9526169,-7.551871239476204,f
37,"(60, 115, 242, 297)",0.92647463,-4.133945389162774,f
37,"(558, 205, 742, 389)",0.813061,14.521389018944953,m
38,"(307, 162, 492, 347)",0.9965773,-16.385051569339414,f
38,"(733, 22, 932, 221)",0.9505029,-7.560243477435314,f
38,"(60, 115, 243, 298)",0.9246125,-5.803041257711302,f
38,"(557, 205, 742, 389)",0.79017556,13.765513989378634,m
39,"(308, 163, 491, 347)",0.9966319,-16.99546380785334,f
39,"(732, 23, 931, 221)",0.9433156,-8.17853129833559,f
39,"(61, 115, 244, 297)",0.9159874,-5.437323010874051,f
39,"(558, 206, 740, 387)",0.7802447,14.780787923115225,m
40,"(308, 164, 491, 347)",0.99690455,-18.13698344062383,f
40,"(732, 23, 930, 221)",0.9284611,-8.135609715371823,f
40,"(61, 114, 244, 297)",0.9094796,-5.932849075383169,f
40,"(570, 212, 734, 376)",0.75343806,16.858245039672276,m
41,"(308, 164, 491, 347)",0.99692315,-18.43823626755703,f
41,"(731, 23, 929, 221)",0.9207479,-7.942935231789654,f
41,"(61, 114, 243, 297)",0.9061663,-6.950294470572387,f
41,"(570, 212, 734, 376)",0.79967403,16.816269256295485,m
42,"(309, 164, 491, 347)",0.99716383,-18.833559491493894,f
42,"(732, 23, 929, 221)",0.922257,-8.382336702210006,f
42,"(61, 115, 243, 297)",0.9129951,-5.489972847679931,f
