frame,bb,face_id,face_detect_conf,tracking_conf,sex_label,sex_decision_function,avg_sex_decision_function,avg_sex_label
32,"(564, 204, 740, 380)",3,,27.766,m,15.723,16.904,m
32,"(312, 161, 497, 346)",4,,24.761,f,-17.076,-15.173,f
33,"(61, 108, 277, 324)",0,,27.055,f,-10.977,-9.679,f
33,"(940, -8, 1126, 178)",1,,27.144,m,11.626,11.401,m
33,"(732, 21, 924, 212)",2,,18.699,f,-5.297,-6.520,f
33,"(564, 204, 740, 380)",3,,26.324,m,15.438,16.904,m
33,"(314, 159, 503, 349)",4,,22.456,f,-16.975,-15.173,f
34,"(61, 108, 277, 324)",0,,26.754,f,-10.983,-9.679,f
34,"(946, -9, 1130, 175)",1,,22.453,m,11.827,11.401,m
34,"(732, 17, 930, 215)",2,,24.717,f,-5.028,-6.520,f
34,"(564, 204, 740, 380)",3,,25.787,m,15.326,16.904,m
34,"(314, 160, 499, 345)",4,,23.989,f,-16.660,-15.173,f
35,"(61, 109, 276, 323)",0,0.997,22.296,f,-11.361,-9.679,f
35,"(940, -9, 1123, 172)",1,0.984,27.280,m,11.347,11.401,m
35,"(731, 18, 929, 216)",2,0.963,22.294,f,-6.417,-6.520,f
35,"(564, 205, 740, 381)",3,0.860,25.254,m,15.267,16.904,m
35,"(313, 161, 496, 344)",4,0.739,23.483,f,-15.915,-15.173,f
36,"(61, 109, 275, 323)",0,,26.810,f,-11.150,-9.679,f
36,"(940, -9, 1122, 172)",1,,26.816,m,10.869,11.401,m
36,"(731, 19, 928, 216)",2,,28.456,f,-6.480,-6.520,f
36,"(562, 206, 735, 379)",3,,19.413,m,14.002,16.904,m
36,"(313, 161, 496, 343)",4,,28.108,f,-16.047,-15.173,f
37,"(61, 109, 275, 323)",0,,26.769,f,-10.765,-9.679,f
37,"(939, -9, 1121, 171)",1,,26.523,m,11.069,11.401,m
37,"(730, 19, 928, 216)",2,,27.072,f,-6.604,-6.520,f
37,"(563, 204, 739, 381)",3,,25.779,m,15.299,16.904,m
37,"(314, 161, 496, 343)",4,,27.689,f,-16.560,-15.173,f
38,"(53, 105, 274, 327)",0,,19.037,f,-11.905,-9.679,f
38,"(939, -9, 1120, 171)",1,,26.828,m,11.170,11.401,m
38,"(730, 21, 921, 212)",2,,19.781,f,-4.883,-6.520,f
38,"(562, 206, 734, 379)",3,,19.345,m,15.153,16.904,m
38,"(311, 161, 492, 343)",4,,19.251,f,-16.541,-15.173,f
39,"(59, 109, 274, 324)",0,,24.893,f,-11.608,-9.679,f
39,"(938, -10, 1120, 171)",1,,26.327,m,10.225,11.401,m
39,"(730, 18, 927, 216)",2,,25.856,f,-6.351,-6.520,f
39,"(563, 205, 738, 381)",3,,25.580,m,15.096,16.904,m
39,"(315, 160, 500, 345)",4,,21.674,f,-17.350,-15.173,f
40,"(59, 109, 271, 320)",0,0.997,25.717,f,-10.356,-9.679,f
40,"(937, -9, 1121, 174)",1,0.975,26.126,m,10.753,11.401,m
40,"(730, 20, 924, 214)",2,0.929,23.848,f,-6.250,-6.520,f
40,"(562, 205, 741, 383)",3,0.851,25.766,m,15.670,16.904,m
40,"(317, 175, 480, 338)",4,0.707,20.976,f,-16.991,-15.173,f
41,"(60, 109, 271, 321)",0,,29.492,f,-11.656,-9.679,f
41,"(937, -9, 1121, 174)",1,,27.420,m,11.094,11.401,m
41,"(730, 23, 918, 211)",2,,18.670,f,-5.605,-6.520,f
41,"(561, 206, 736, 381)",3,,18.704,m,17.311,16.904,m
41,"(317, 175, 480, 338)",4,,27.732,f,-17.840,-15.173,f
42,"(59, 109, 271, 320)",0,,26.940,f,-10.832,-9.679,f
42,"(937, -9, 1121, 174)",1,,27.135,m,10.437,11.401,m
42,"(730, 17, 929, 216)",2,,20.488,f,-6.508,-6.520,f
42,"(565, 204, 744, 384)",3,,20.405,m,16.360,16.904,m
42,"(319, 175, 481, 338)",4,,28.252,f,-17.554,-15.173,f
43,"(58, 111, 265, 318)",0,,18.253,f,-9.677,-9.679,f
43,"(937, -9, 1121, 174)",1,,27.617,m,10.337,11.401,m
43,"(730, 20, 921, 210)",2,,22.205,f,-4.834,-6.520,f
43,"(563, 209, 737, 382)",3,,26.074,m,16.798,16.904,m
43,"(319, 175, 482, 338)",4,,28.027,f,-17.081,-15.173,f
44,"(66, 113, 271, 317)",0,,20.909,f,-9.862,-9.679,f
44,"(936, -9, 1120, 174)",1,,27.849,m,10.488,11.401,m
44,"(730, 21, 923, 214)",2,,26.192,f,-6.020,-6.520,f
44,"(567, 207, 742, 382)",3,,22.172,m,17.890,16.904,m
44,"(320, 175, 482, 338)",4,,28.020,f,-15.892,-15.173,f
45,"(62, 110, 273, 321)",0,0.998,26.305,f,-10.969,-9.679,f
